Show,IMDB ID,Genre,Season,Episode,Title,Air Date,Year,Rating,Votes
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,1,Pilot: Part 1,"Wed, Sep 22, 2004",2004,9.1,19K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,2,Pilot: Part 2,"Wed, Sep 29, 2004",2004,9.1,14K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,3,Tabula Rasa,"Wed, Oct 6, 2004",2004,8.3,11K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,4,Walkabout,"Wed, Oct 13, 2004",2004,9.0,12K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,5,White Rabbit,"Wed, Oct 20, 2004",2004,8.3,9.8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,6,House of the Rising Sun,"Wed, Oct 27, 2004",2004,8.0,9.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,7,The Moth,"Wed, Nov 3, 2004",2004,8.3,9.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,8,Confidence Man,"Wed, Nov 10, 2004",2004,8.6,9.8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,9,Solitary,"Wed, Nov 17, 2004",2004,8.4,9.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,10,Raised by Another,"Wed, Dec 1, 2004",2004,8.5,9.3K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,11,All the Best Cowboys Have Daddy Issues,"Wed, Dec 8, 2004",2004,8.8,9.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,12,Whatever the Case May Be,"Wed, Jan 5, 2005",2005,7.8,8.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,13,Hearts and Minds,"Wed, Jan 12, 2005",2005,8.0,8.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,14,Special,"Wed, Jan 19, 2005",2005,8.0,8.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,15,Homecoming,"Wed, Feb 9, 2005",2005,8.2,8.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,16,Outlaws,"Wed, Feb 16, 2005",2005,8.5,8.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,17,...In Translation,"Wed, Feb 23, 2005",2005,8.3,8.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,18,Numbers,"Wed, Mar 2, 2005",2005,9.0,9.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,19,Deus Ex Machina,"Wed, Mar 30, 2005",2005,9.1,9.8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,20,Do No Harm,"Wed, Apr 6, 2005",2005,8.9,9.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,21,The Greater Good,"Wed, May 4, 2005",2005,8.1,8.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,22,Born to Run,"Wed, May 11, 2005",2005,7.9,8.3K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,23,Exodus: Part 1,"Wed, May 18, 2005",2005,9.0,9.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,24,Exodus: Part 2,"Wed, May 25, 2005",2005,9.1,10K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1,25,Exodus: Part 3,"Wed, May 25, 2005",2005,9.3,7.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,1,"Man of Science, Man of Faith","Wed, Sep 21, 2005",2005,9.1,10K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,2,Adrift,"Wed, Sep 28, 2005",2005,8.3,8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,3,Orientation,"Wed, Oct 5, 2005",2005,8.7,8.3K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,4,Everybody Hates Hugo,"Wed, Oct 12, 2005",2005,8.2,8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,5,...And Found,"Wed, Oct 19, 2005",2005,7.7,7.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,6,Abandoned,"Wed, Nov 9, 2005",2005,8.2,7.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,7,The Other 48 Days,"Wed, Nov 16, 2005",2005,8.7,8.8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,8,Collision,"Wed, Nov 23, 2005",2005,8.6,7.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,9,What Kate Did,"Wed, Nov 30, 2005",2005,8.1,7.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,10,The 23rd Psalm,"Wed, Jan 11, 2006",2006,8.6,8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,11,The Hunting Party,"Wed, Jan 18, 2006",2006,8.3,7.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,12,Fire + Water,"Wed, Jan 25, 2006",2006,7.1,7.8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,13,The Long Con,"Wed, Feb 8, 2006",2006,8.6,7.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,14,One of Them,"Wed, Feb 15, 2006",2006,8.5,7.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,15,Maternity Leave,"Wed, Mar 1, 2006",2006,8.2,7.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,16,The Whole Truth,"Wed, Mar 22, 2006",2006,8.1,7.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,17,Lockdown,"Wed, Mar 29, 2006",2006,9.0,8.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,18,Dave,"Wed, Apr 5, 2006",2006,8.2,7.8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,19,S.O.S.,"Wed, Apr 12, 2006",2006,7.7,7.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,20,Two for the Road,"Wed, May 3, 2006",2006,8.9,8.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,21,?,"Wed, May 10, 2006",2006,8.7,7.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,22,Three Minutes,"Wed, May 17, 2006",2006,8.4,7.4K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,23,"Live Together, Die Alone: Part 1","Wed, May 24, 2006",2006,9.3,11K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",2,24,"Live Together, Die Alone: Part 2","Wed, May 24, 2006",2006,9.4,4K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,1,A Tale of Two Cities,"Wed, Oct 4, 2006",2006,8.5,8.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,2,The Glass Ballerina,"Wed, Oct 11, 2006",2006,7.9,7.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,3,Further Instructions,"Wed, Oct 18, 2006",2006,7.8,7.4K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,4,Every Man for Himself,"Wed, Oct 25, 2006",2006,8.2,7.4K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,5,The Cost of Living,"Wed, Nov 1, 2006",2006,8.0,7.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,6,I Do,"Wed, Nov 8, 2006",2006,8.5,7.8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,7,Not in Portland,"Wed, Feb 7, 2007",2007,8.6,7.8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,8,Flashes Before Your Eyes,"Wed, Feb 14, 2007",2007,9.1,9.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,9,Stranger in a Strange Land,"Wed, Feb 21, 2007",2007,7.1,7.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,10,Tricia Tanaka Is Dead,"Wed, Feb 28, 2007",2007,8.2,7.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,11,Enter 77,"Wed, Mar 7, 2007",2007,8.5,7.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,12,Par Avion,"Wed, Mar 14, 2007",2007,8.1,7.3K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,13,The Man from Tallahassee,"Wed, Mar 21, 2007",2007,9.1,8.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,14,Exposé,"Wed, Mar 28, 2007",2007,7.9,8.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,15,Left Behind,"Wed, Apr 4, 2007",2007,8.0,7.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,16,One of Us,"Wed, Apr 11, 2007",2007,8.6,7.4K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,17,Catch-22,"Wed, Apr 18, 2007",2007,8.3,7.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,18,D.O.C.,"Wed, Apr 25, 2007",2007,8.1,7.1K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,19,The Brig,"Wed, May 2, 2007",2007,9.1,8.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,20,The Man Behind the Curtain,"Wed, May 9, 2007",2007,9.2,9.4K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,21,Greatest Hits,"Wed, May 16, 2007",2007,9.1,9.3K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,22,Through the Looking Glass: Part 1,"Wed, May 23, 2007",2007,9.6,17K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",3,23,Through the Looking Glass: Part 2,"Wed, May 23, 2007",2007,9.7,5.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,1,The Beginning of the End,"Thu, Jan 31, 2008",2008,8.7,8.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,2,Confirmed Dead,"Thu, Feb 7, 2008",2008,8.6,7.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,3,The Economist,"Thu, Feb 14, 2008",2008,8.3,7.3K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,4,Eggtown,"Thu, Feb 21, 2008",2008,8.0,7.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,5,The Constant,"Thu, Feb 28, 2008",2008,9.7,21K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,6,The Other Woman,"Thu, Mar 6, 2008",2008,7.7,7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,7,Ji Yeon,"Thu, Mar 13, 2008",2008,8.2,7.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,8,Meet Kevin Johnson,"Thu, Mar 20, 2008",2008,8.3,7.1K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,9,The Shape of Things to Come,"Thu, Apr 24, 2008",2008,9.0,8.4K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,10,Something Nice Back Home,"Thu, May 1, 2008",2008,7.8,6.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,11,Cabin Fever,"Thu, May 8, 2008",2008,8.5,7.1K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,12,There's No Place Like Home: Part 1,"Thu, May 15, 2008",2008,8.9,7.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,13,There's No Place Like Home: Part 2,"Thu, May 29, 2008",2008,9.2,9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4,14,There's No Place Like Home: Part 3,"Thu, May 29, 2008",2008,9.3,7.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,1,Because You Left,"Wed, Jan 21, 2009",2009,8.7,7.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,2,The Lie,"Wed, Jan 21, 2009",2009,8.1,6.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,3,Jughead,"Wed, Jan 28, 2009",2009,8.4,7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,4,The Little Prince,"Wed, Feb 4, 2009",2009,8.1,6.7K
