Show,IMDB ID,Genre,Season,Episode,Title,Air Date,Year,Rating,Votes2,First_Season_Average,Last_season_average
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,1,Winter Is Coming,2011-04-17,2011,8.9,78000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,2,The Kingsroad,2011-04-24,2011,8.6,59000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,3,Lord Snow,2011-05-01,2011,8.5,56000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,4,"Cripples, Bastards, and Broken Things",2011-05-08,2011,8.6,54000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,5,The Wolf and the Lion,2011-05-15,2011,9.0,57000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,6,A Golden Crown,2011-05-22,2011,9.1,56000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,7,You Win or You Die,2011-05-29,2011,9.2,56000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,8,The Pointy End,2011-06-05,2011,8.9,53000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,9,Baelor,2011-06-12,2011,9.6,77000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",1,10,Fire and Blood,2011-06-19,2011,9.4,65000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,1,The North Remembers,2012-04-01,2012,8.6,49000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,2,The Night Lands,2012-04-08,2012,8.3,46000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,3,What Is Dead May Never Die,2012-04-15,2012,8.6,46000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,4,Garden of Bones,2012-04-22,2012,8.6,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,5,The Ghost of Harrenhal,2012-04-29,2012,8.6,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,6,The Old Gods and the New,2012-05-06,2012,8.9,47000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,7,A Man Without Honor,2012-05-13,2012,8.8,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,8,The Prince of Winterfell,2012-05-20,2012,8.6,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,9,Blackwater,2012-05-27,2012,9.7,84000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",2,10,Valar Morghulis,2012-06-03,2012,9.3,55000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,1,Valar Dohaeris,2013-03-31,2013,8.6,47000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,2,"Dark Wings, Dark Words",2013-04-07,2013,8.4,44000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,3,Walk of Punishment,2013-04-14,2013,8.7,44000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,4,And Now His Watch Is Ended,2013-04-21,2013,9.5,61000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,5,Kissed by Fire,2013-04-28,2013,8.9,47000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,6,The Climb,2013-05-05,2013,8.7,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,7,The Bear and the Maiden Fair,2013-05-12,2013,8.6,44000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,8,Second Sons,2013-05-19,2013,8.9,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,9,The Rains of Castamere,2013-06-02,2013,9.9,182000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",3,10,Mhysa,2013-06-09,2013,9.1,51000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,1,Two Swords,2014-04-06,2014,9.0,54000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,2,The Lion and the Rose,2014-04-13,2014,9.7,88000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,3,Breaker of Chains,2014-04-20,2014,8.7,47000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,4,Oathkeeper,2014-04-27,2014,8.7,46000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,5,First of His Name,2014-05-04,2014,8.6,45000.0,9.0,6.4
Game of Thrones,tt0944947,"Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Drama, Fantasy",4,6,The Laws of Gods and Men,2014-05-11,2014,9.7,90000.0,9.0,6.4
